"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Germany","DEU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","156000000","12000000","154000000","141000000","437000000","327000000","712000000","759000000","589000000","876000000","1581000000","1357000000","1359000000","224000000","1189000000","1422000000","1658000000","1929000000","1606000000","1429000000","1598000000","1904000000","1519000000","2222000000","2938000000","1340000000","1364000000","924000000","1397000000","1273000000","1835000000","2418000000","1529000000","1559000000","2920000000","1552000000","1961000000","955000000","1847000000","1944000000","1677000000","865000000","899000000","1652000000","1103000000","2088000000","2485000000","3296000000","2380000000","2207000000","2357000000","1204000000","729000000","729000000","1822000000","1815000000","2509000000","1841000000","1085000000","950000000","1163000000","813000000","1489000000","2472000000","2049000000","",
"Djibouti","DJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","20000000","","","","60000000","12000000","","128000000","24000000","","","","","","","24000000","","","","","18000000","29000000","64000000","115000000","","","","117000000","36000000","","80000000","","","182000000","268000000","34000000","13000000","","","3000000","18000000","","10000000","2000000","","","5000000","6000000","8000000","10000000","8000000","26000000","26000000","8000000","19000000","22000000","21000000","13000000","25000000","2000000","","24000000","78000000","46000000","166000000","",
"Dominican Republic","DOM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","0","","","",
"Algeria","DZA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","6000000","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","47000000","19000000","75000000","387000000","619000000","426000000","746000000","669000000","917000000","","","","","","","","","","","","","","","","","","","","","","","","","1041000000","","","","439000000","","","","837000000","484000000","365000000","887000000","524000000","602000000","1148000000","1508000000","1262000000","1534000000","2091000000","1339000000","1819000000","2536000000","1720000000","1390000000","1615000000","635000000","1378000000","2280000000","2995000000","1379000000","",
"Early-demographic dividend","EAR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","106000000","","92000000","","","178000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","286000000","98000000","151000000","27000000","89000000","","","439000000","","","","","","","","","","","","784000000","","","","","","","","","","1331000000","1268000000","","","","","","1003000000","581000000","","","","","","","","","","","","","","","","","","","3203000000","2524000000","","","","2132000000","","3750000000","","",
"Europe & Central Asia (excluding high income)","ECA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","23000000","11000000","","","","","","","","","","","","","","246000000","396000000","1183000000","779000000","1293000000","682000000","665000000","539000000","771000000","391000000","394000000","749000000","882000000","829000000","790000000","1007000000","997000000","1751000000","1108000000","900000000","770000000","1021000000","637000000","672000000","552000000","495000000","777000000","","","","",
